2024-09-23T16:50:43.162+01:00 DEBUG 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : Received: 0 records
2024-09-23T16:50:43.194+01:00 DEBUG 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : Commit list: {}
2024-09-23T16:50:50.050+01:00  INFO 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Node -1 disconnected.
2024-09-23T16:50:50.050+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:50.051+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:50.240+01:00  INFO 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Node -1 disconnected.
2024-09-23T16:50:50.241+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:50.241+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:50.875+01:00  INFO 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Node -1 disconnected.
2024-09-23T16:50:50.875+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:50.875+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:51.282+01:00  INFO 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Node -1 disconnected.
2024-09-23T16:50:51.282+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:51.282+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:51.925+01:00  INFO 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Node -1 disconnected.
2024-09-23T16:50:51.925+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:51.925+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:52.284+01:00  INFO 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Node -1 disconnected.
2024-09-23T16:50:52.285+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:52.285+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:52.857+01:00  INFO 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Node -1 disconnected.
2024-09-23T16:50:52.858+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:52.858+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:53.202+01:00 DEBUG 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : Received: 0 records
2024-09-23T16:50:53.203+01:00 DEBUG 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : Commit list: {}
2024-09-23T16:50:53.296+01:00  INFO 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Node -1 disconnected.
2024-09-23T16:50:53.296+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:53.296+01:00  WARN 4688 --- [StripePayment] [kafka-producer-network-thread | StripePayment-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=StripePayment-producer-1] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2024-09-23T16:50:53.872+01:00  INFO 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Node -1 disconnected.
2024-09-23T16:50:53.873+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2024-09-23T16:50:53.873+01:00  WARN 4688 --- [StripePayment] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment_group-1, groupId=payment_group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
